ticker,name,corp_list
1011,철강금속,"005490,010130,004020,103140,002710,006110,100090,001430,016380,000670,002240,460860,058650,306200,104700,001940,084010,058430,005010,001780,009160,092790,004560,018470,460850,008350,001080,000970,025820,014280,139990,024090,008970,008260,019440,012800,004890,032560,007280,071090,069460,155660,069730,021050,009190,002220,008420,026940,012160,002690,133820,001770"
1012,기계,"042700,034020,079550,454910,241560,018880,112610,017800,042670,267270,082740,017960,071970,007460,077970,000490,100840,004380,002900,010820,015590,210540,074610,017550,011700,017370,120030,012600,145210,092440,085310,000850,004450,119650,010660,058730,091090,049800,006570,012200,009310,025890"
1013,전기전자,"005930,000660,373220,006400,066570,003670,267260,009150,010120,034220,011070,450080,272210,066970,298040,007660,361610,001440,000990,020150,004490,336260,336370,103590,108320,353200,248070,007340,009450,090460,025540,195870,192650,001820,097520,033240,009470,000500,029530,007810,011930,006340,092220,109070,322000,005680,008110,004710,019180,004920,005870,007610,008700,011230,011690,017040,017900,020760,033180,004770,000300,001210,009140,014910,015260,019490,044380"
1014,의료정밀,"137310,145720,281820,003160,029460,105840,372910,025560"
1015,운수장비,"005380,000270,012330,012450,329180,010140,042660,064350,047810,010620,204320,005850,011210,003620,271940,009900,003570,064960,075580,200880,010690,000430,009680,092200,015230,033530,010580,214330,010100,001380,024900,023000,006660,016740,004100,013520,023800,041650,023810,021820,018500,013870,378850,092780,075180,123700,308170,001620,002880,002920,009320,090080,000040,012280,005030,033250,001420,010770,143210"
1016,유통업,"028260,047050,081660,007070,008770,026960,282330,111770,023530,018670,139480,004170,009240,001120,069960,001740,001530,381970,057050,017940,031430,453340,005390,093230,000680,001250,122900,011760,003580,002810,339770,037710,452260,071840,000050,011810,450140,128820,004080,123690,007110,002700,077500,227840,101140,067830,006880,009810,004060,003010,006370,069640,004270,118000,005360,025530,010600,000760,013000,008600,005320,002870,002420,005110,088790,010420"
1017,전기가스업,"015760,036460,071320,005090,004690,017390,117580,267290,034590,003480"
1018,건설업,"000720,051600,047040,006360,009410,294870,375500,475150,001470,126720,097230,039570,003070,028100,002780,002990,013580,005960,034300,002460,014790,010960,013360,004960,001260,013700,023960,002410,010400"
1019,운수창고업,"011200,003490,086280,000120,028670,089590,020560,005880,091810,272450,003280,298690,002320,004360,005430,044450,004140,009070,465770,009180,000650,129260,014130,001140,084670"
1020,통신업,"017670,030200,032640,126560,006490"
1021,금융업,"105560,055550,032830,086790,000810,138040,009540,003550,024110,316140,402340,034730,323410,005830,267250,088980,029780,180640,006800,005940,078930,016360,071050,006260,001040,377300,039490,001450,000150,175330,138930,088350,004990,008930,000240,010060,139130,003690,082640,004800,006040,001720,009970,001800,085620,000400,229640,003540,192400,003030,003530,006120,000640,005440,000370,003470,030610,000070,007700,383800,012630,001200,026890,005810,006220,036530,123890,084690,060980,027410,072710,024720,001510,001500,001270,001230,000540,034830,096760,008060,007860,006840,002020,001750,000140,363280,107590,030210,016610,015860,012320,000320,481850,003460,007540,013570,244920,044820,004150,005740,000590,001290,009440,006200"
1024,증권,"006800,005940,016360,039490,001720,003540,003530,003470,030610,001200,001500,001510,001270,001750,030210,016610,003460,001290"
1025,보험,"032830,000810,005830,001450,088350,003690,082640,085620,000400,000370,000540"
1026,서비스업,"035420,035720,259960,018260,352820,326030,443060,251270,028050,021240,022100,307950,036570,462870,035250,052690,012750,030000,012510,395400,089860,034230,365550,192080,079160,330590,039130,023590,214320,032350,348950,114090,005250,181710,030190,403550,293940,002030,284740,130660,432320,357120,034310,448730,286940,451800,088260,034120,002150,334890,015360,404990,053210,037560,095720,012030,377190,417310,102260,019680,095570,053690,037270,267850,317400,210980,070960,036420,068290,035510,031440,000700,094280,400760,020120,002620,016710,058850,396690,350520,000180,035000,058860,078000,016880,031820,011420,357250,012170,338100,357430,100220,023350,003560,145270,072130,007120,015020,140910,204210"
